time,gsr
1463088604,770
1463088609,775
1463088614,777
1463088619,776
1463088624,752
1463088629,757
1463088634,775
1463088639,781
1463088644,786
1463088649,790
1463088654,795
1463088659,767
1463088664,664
1463088669,716
1463088674,746
1463088679,757
1463088684,754
1463088689,770
1463088694,772
1463088699,774
1463088704,783
1463088709,790
1463088714,795
1463088719,796
1463088724,711
1463088729,767
1463088734,748
1463088739,763
1463088744,773
1463088749,771
1463088754,717
1463088759,759
1463088764,751
1463088769,743
1463088774,727
1463088779,728
1463088784,741
1463088789,739
1463088794,726
1463088799,746
1463088804,752
1463088808,740
1463088813,758
1463088818,727
1463088823,741
1463088828,727
1463088833,624
1463088838,561
1463088843,558
1463088848,582
1463088853,572
1463088858,551
1463088863,562
1463088868,579
1463088873,595
1463088878,605
1463088883,620
1463088888,606
1463088893,596
1463088898,612
1463088903,632
1463088908,618
1463088913,638
1463088918,649
1463088923,656
1463088928,652
1463088933,660
1463088938,632
1463088943,641
1463088948,606
1463088953,620
1463088958,642
1463088963,622
1463088968,626
1463088973,571
1463088978,613
1463088983,617
1463088988,610
1463088993,611
1463088998,629
1463089003,582
1463089008,608
1463089013,535
1463089018,556
1463089024,573
1463089028,585
1463089045,504
1463089045,531
1463089045,542
1463089050,562
1463089053,568
1463089058,586
1463089063,595
1463089067,604
1463089073,611
1463089077,618
1463089083,627
1463089087,628
1463089092,637
1463089097,643
1463089103,650
1463089110,655
1463089113,660
1463089124,656
1463089125,666
1463089128,672
1463089133,671
1463089138,685
1463089144,693
1463089147,698
1463089152,705
1463089160,708
1463089163,713
1463089169,713
1463089176,722
1463089181,725
1463089182,728
1463089187,734
1463089192,737
1463089198,740
1463089202,744
1463089207,747
1463089212,750
1463089217,753
1463089222,756
1463089227,757
1463089232,760
1463089237,745
1463089242,760
1463089247,767
1463089252,769
1463089257,773
1463089262,777
1463089267,780
1463089272,784
1463089277,782
1463089282,775
1463089287,797
1463089292,754
1463089297,760
1463089302,775
1463089307,783
1463089312,789
1463089317,748
1463089322,779
1463089326,774
1463089331,779
1463089336,785
1463089342,795
1463089346,779
1463089351,774
1463089356,788
1463089361,800
1463089366,805
1463089371,798
1463089376,810
1463089381,813
1463089386,819
1463089391,818
1463089396,827
1463089401,831
1463089406,834
1463089411,840
1463089417,840
1463089421,843
1463089426,848
1463089431,852
1463089436,855
1463089449,858
1463089449,858
1463089451,863
1463089456,866
1463089461,867
1463089466,874
1463089473,874
1463089476,876
1463089481,881
1463089487,878
1463089493,886
1463089496,889
1463089501,891
1463089506,898
1463089511,898
1463089516,896
1463089521,898
1463089526,900
1463089531,903
1463089536,902
1463089541,906
1463089546,913
1463089551,917
1463089556,922
1463089561,925
1463089566,927
1463089570,928
1463089575,943
